Language Feature,Engine,Group,Supported?,Failed Test Cases,Total Test Cases,Deployable?
AdHocSubProcess_Sequential,activiti__5_15_1,activities,0,1,1,0
CallActivity_GlobalTask,activiti__5_15_1,activities,0,1,1,1
CallActivity_Process,activiti__5_15_1,activities,1,0,1,1
Loop_ConditionOnly,activiti__5_15_1,activities,0,2,3,1
Loop_Maximum,activiti__5_15_1,activities,0,1,1,1
Loop_NoIteration_TestBeforeFalse,activiti__5_15_1,activities,1,0,1,1
Loop_NoIteration_TestBeforeTrue,activiti__5_15_1,activities,0,1,1,1
Loop_SubProcess,activiti__5_15_1,activities,0,2,3,1
Loop_Task,activiti__5_15_1,activities,0,2,3,1
MultiInstance_AllBehavior,activiti__5_15_1,activities,1,0,1,1
MultiInstance_ComplexBehavior,activiti__5_15_1,activities,0,1,1,1
MultiInstance_NoneBehavior,activiti__5_15_1,activities,0,1,1,1
MultiInstance_OneBehavior,activiti__5_15_1,activities,0,1,1,1
MultiInstance_Parallel,activiti__5_15_1,activities,1,0,1,1
MultiInstance_Sequential,activiti__5_15_1,activities,1,0,1,1
MultiInstance_SubProcess,activiti__5_15_1,activities,1,0,1,1
MultiInstance_Task,activiti__5_15_1,activities,1,0,1,1
ReceiveTask,activiti__5_15_1,activities,0,1,1,0
ReceiveTask_Instantiate,activiti__5_15_1,activities,0,1,1,0
SendTask,activiti__5_15_1,activities,0,1,1,0
SubProcess,activiti__5_15_1,activities,1,0,1,1
Token_Cardinality_Default,activiti__5_15_1,activities,0,1,1,1
Token_Cardinality_Explicit,activiti__5_15_1,activities,0,1,1,1
Token_Cardinality_Split_Default,activiti__5_15_1,activities,1,0,1,1
Token_Cardinality_Split_Explicit,activiti__5_15_1,activities,0,1,1,1
Transaction,activiti__5_15_1,activities,1,0,1,1
Lanes,activiti__5_15_1,basics,1,0,1,1
Participant,activiti__5_15_1,basics,1,0,1,1
SequenceFlow,activiti__5_15_1,basics,1,0,1,1
SequenceFlow_Conditional,activiti__5_15_1,basics,1,0,2,1
SequenceFlow_ConditionalDefault,activiti__5_15_1,basics,1,0,2,1
SequenceFlow_ConditionalDefault_Normal,activiti__5_15_1,basics,0,1,1,1
WCP01_Sequence,activiti__5_15_1,cfpatterns,1,0,1,1
WCP02_ParallelSplit,activiti__5_15_1,cfpatterns,1,0,1,1
WCP03_Synchronization,activiti__5_15_1,cfpatterns,1,0,1,1
